marcfarma;saúde;Conta Corrente BB;essencial;11/01/2017;-45,62;11/01/2017
tim fabi;Internet/Telefone/TV;Conta Corrente BB;essencial;11/01/2017;-39,04;11/01/2017
buyrger;alimentação;Conta Corrente BB;Estilo de Vida;11/01/2017;-37;11/01/2017
casa do mel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;11/01/2017;-7,92;11/01/2017
tbone;alimentação;Conta Corrente BB;essencial;11/01/2017;-6;11/01/2017
deposito fabi;Faturamento Fabi;Conta Corrente BB;;11/01/2017;1.050,00;11/01/2017
megasena;outros;Conta Corrente BB;Prioridade Financeira;12/01/2017;-30;12/01/2017
netflix;Internet/Telefone/TV;nubank;Estilo de Vida;12/01/2017;-22,9;12/01/2017
tbone;alimentação;Conta Corrente BB;essencial;12/01/2017;-18;12/01/2017
predileta;alimentação;Conta Corrente BB;essencial;12/01/2017;-8,2;12/01/2017
sendai;restaurante;Conta Corrente BB;Estilo de Vida;13/01/2017;-136;13/01/2017
tbone;alimentação;Conta Corrente BB;essencial;13/01/2017;-12;13/01/2017
mercado;mercado;VisaVale;essencial;15/01/2017;-365;15/01/2017
raven;Compras/presentes;Conta Corrente BB;Estilo de Vida;16/01/2017;-425;16/01/2017
mufato;mercado;Conta Corrente BB;essencial;16/01/2017;-331,2;16/01/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;16/01/2017;-196;16/01/2017
postoflex;combustível;Conta Corrente BB;essencial;16/01/2017;-175;16/01/2017
telefone dna salete;Dn salete;Conta Corrente BB;;16/01/2017;-80,12;16/01/2017
ponto mineiro;restaurante;Conta Corrente BB;Estilo de Vida;16/01/2017;-55,01;16/01/2017
shop maringa;Compras/presentes;Conta Corrente BB;Estilo de Vida;16/01/2017;-45,15;16/01/2017
canela fina ;alimentação;Conta Corrente BB;essencial;16/01/2017;-32;16/01/2017
sorvetao;alimentação;Conta Corrente BB;Estilo de Vida;16/01/2017;-29;16/01/2017
big mercado;mercado;Conta Corrente BB;essencial;16/01/2017;-24,16;16/01/2017
marcfarma;saúde;Conta Corrente BB;Prioridade Financeira;16/01/2017;-15,95;16/01/2017
predileta;alimentação;Conta Corrente BB;essencial;16/01/2017;-12,6;16/01/2017
tarifa servicos;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;16/01/2017;-9,22;16/01/2017
faturamento fabi;Faturamento Fabi;Conta Corrente BB;;16/01/2017;600;16/01/2017
fiorela ;alimentação;Conta Corrente BB;essencial;17/01/2017;-70,69;17/01/2017
compra lm 4/12;compras/presentes;Conta Corrente BB;Estilo de Vida;17/01/2017;-67;17/01/2017
tbone;alimentação;Conta Corrente BB;essencial;17/01/2017;-22;17/01/2017
mercado;mercado;Conta Corrente BB;essencial;17/01/2017;-20;17/01/2017
fiorela ;alimentação;Conta Corrente BB;essencial;17/01/2017;-14,65;17/01/2017
tbone;alimentação;Conta Corrente BB;essencial;17/01/2017;-12;17/01/2017
compra fabi;Negocio Fabi;Conta Corrente BB;Negocio Fabi;17/01/2017;-4;17/01/2017
casoto embalagem;Negocio Fabi;Conta Corrente BB;Negocio Fabi;19/01/2017;-156;19/01/2017
MEGASENA;outros;Conta Corrente BB;Prioridade Financeira;19/01/2017;-28;19/01/2017
tbone ;alimentação;Conta Corrente BB;essencial;19/01/2017;-16;19/01/2017
casa domel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;19/01/2017;-13,8;19/01/2017
terreno  10/88;terreno;Conta Corrente BB;Prioridade Financeira;20/01/2017;-874,19;20/01/2017
resgate cdb;Investimento BB;;;20/01/2017;-500;20/01/2017
saque;outros;Conta Corrente BB;essencial;20/01/2017;-250;20/01/2017
lanche;alimentação;Conta Corrente BB;essencial;20/01/2017;-39;20/01/2017
tbone;alimentação;Conta Corrente BB;essencial;20/01/2017;-14;20/01/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;20/01/2017;-11,85;20/01/2017
resgate cdb;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;20/01/2017;533,67;20/01/2017
padaria/mufato;mercado;Conta Corrente BB;essencial;23/01/2017;-91,36;23/01/2017
gril;alimentação;Conta Corrente BB;Estilo de Vida;23/01/2017;-87,45;23/01/2017
tbone;alimentação;Conta Corrente BB;essencial;23/01/2017;-50,3;23/01/2017
sorvetao;alimentação;Conta Corrente BB;Estilo de Vida;23/01/2017;-31,59;23/01/2017
redileta;alimentação;Conta Corrente BB;essencial;23/01/2017;-28,27;23/01/2017
mercado;mercado;Conta Corrente BB;essencial;23/01/2017;-5,5;23/01/2017
resgate cdb;Investimento BB;;;24/01/2017;-1.000,00;24/01/2017
posto flex;combustível;nubank;essencial;24/01/2017;-50;24/01/2017
mufato;mercado;Conta Corrente BB;essencial;24/01/2017;-44,43;24/01/2017
mercado gaucho;mercado;nubank;essencial;24/01/2017;-13,75;24/01/2017
mufato;mercado;nubank;essencial;24/01/2017;-13,65;24/01/2017
resgate cdb;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;24/01/2017;1.048,56;24/01/2017
posto flex;combustível;nubank;essencial;25/01/2017;-100;25/01/2017
croasonho;alimentação;nubank;estilo de vida;25/01/2017;-34,15;25/01/2017
gourmet serv;viagem;nubank;estilo de vida;25/01/2017;-21,5;25/01/2017
massashin;viagem;nubank;estilo de vida;25/01/2017;-12;25/01/2017
indigo;viagem;nubank;estilo de vida;25/01/2017;-8;25/01/2017
tbone;alimentação;Conta Corrente BB;essencial;26/01/2017;-28;26/01/2017
ipva 1/3;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;27/01/2017;-463,65;27/01/2017
parana;mercado;Conta Corrente BB;essencial;27/01/2017;-98,84;27/01/2017
mufato;mercado;nubank;essencial;27/01/2017;-90,78;27/01/2017
ofice;outros;nubank;essencial;27/01/2017;-40;27/01/2017
resgate cdb;Investimento BB;;;30/01/2017;-2.000,00;30/01/2017
resgate cdb;Investimento BB;;;30/01/2017;-500;30/01/2017
pgto fone;Internet/Telefone/TV;Conta Corrente BB;essencial;30/01/2017;-346,52;30/01/2017
outros;outros;Conta Corrente BB;;30/01/2017;-93,7;30/01/2017
parana;mercado;Conta Corrente BB;essencial;30/01/2017;-73,01;30/01/2017
fruto maduro;alimentação;Conta Corrente BB;essencial;30/01/2017;-67,81;30/01/2017
big;mercado;Conta Corrente BB;essencial;30/01/2017;-35,07;30/01/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;30/01/2017;-27,63;30/01/2017
predileta;alimentação;Conta Corrente BB;essencial;30/01/2017;-23,3;30/01/2017
capa celular;outros;Conta Corrente BB;Estilo de Vida;30/01/2017;-20;30/01/2017
predileta;alimentação;Conta Corrente BB;essencial;30/01/2017;-18,83;30/01/2017
rcbto dna salete;Dn salete;dinheiro;;30/01/2017;217,93;30/01/2017
resgate cdb;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;30/01/2017;524,95;30/01/2017
resgate cdb;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;30/01/2017;2.088,41;30/01/2017
empregada;Empregada Doméstica;dinheiro;essencial;31/01/2017;-700;31/01/2017
mufato;mercado;Conta Corrente BB;essencial;31/01/2017;-297,43;31/01/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;31/01/2017;-102,83;31/01/2017
tbone ;alimentação;Conta Corrente BB;essencial;31/01/2017;-35;31/01/2017
faturamento fabi;Faturamento Fabi;dinheiro;;31/01/2017;700;31/01/2017
emprestimo 19/23;Emprestimos;Cartão de Crédito;Prioridade Financeira;01/12/2016;-134,82;01/02/2017
bicicleta 8/10;Bens/Casa;Cartão de Crédito;Estilo de Vida;01/12/2016;-79;01/02/2017
celular 10/12;Compras/presentes;Cartão de Crédito;Estilo de Vida;01/12/2016;-64,25;01/02/2017
curso lucas 4/12;Sistema;Nubank;Prioridade Financeira;01/12/2016;-27;01/02/2017
curso fabi 4/12;Negocio Fabi;Nubank;Negocio Fabi;01/12/2016;-14,7;01/02/2017
visavale;Visavale;VisaVale;;01/12/2016;365;01/02/2017
senac 5/10;negocio fabi;cartão de crédito;negocio fabi;05/01/2017;-111,6;01/02/2017
brasilprev;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;01/02/2017;-201,52;01/02/2017
pgto agua;Luz/Água;Conta Corrente BB;Essencial;01/02/2017;-69,84;01/02/2017
compra fabi 3/6;Negocio Fabi;Nubank;Negocio Fabi;01/02/2017;-66,66;01/02/2017
agua dna salete;dn salete;Conta Corrente BB;;01/02/2017;-60,73;01/02/2017
combustivel;combustível;Conta Corrente BB;Essencial;01/02/2017;-50;01/02/2017
americanas 3/8;Compras/presentes;Nubank;Estilo de Vida;01/02/2017;-31,62;01/02/2017
ricardo eletro 8/10;Negocio Fabi;Nubank;Negocio Fabi;01/02/2017;-28,79;01/02/2017
farmacia;saúde;Conta Corrente BB;Essencial;01/02/2017;-12,98;01/02/2017
mufato;mercado;Conta Corrente BB;Essencial;01/02/2017;-10,67;01/02/2017
campoplastic;negocio fabi;Conta Corrente BB;Negocio Fabi;01/02/2017;-3,8;01/02/2017
encargos;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;01/02/2017;-3,47;01/02/2017
brasilprev;Brasilprev;;;01/02/2017;201,52;01/02/2017
mufato;mercado;Conta Corrente BB;Essencial;02/02/2017;-183,27;02/02/2017
compra embaagem;Negocio Fabi;Conta Corrente BB;Negocio Fabi;02/02/2017;-140;02/02/2017
boleto compra fabi;Negocio Fabi;Conta Corrente BB;Negocio Fabi;02/02/2017;-139,9;02/02/2017
esfira;restaurante;Conta Corrente BB;Estilo de Vida;02/02/2017;-54;02/02/2017
campoplastic;negocio fabi;Conta Corrente BB;Negocio Fabi;02/02/2017;-38,9;02/02/2017
pagseguro;Negocio Fabi;Conta Corrente BB;Negocio Fabi;02/02/2017;-16;02/02/2017
fiorela;alimentação;Conta Corrente BB;Essencial;02/02/2017;-14,1;02/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;02/02/2017;-14;02/02/2017
pgto cartao credito;;Conta Corrente BB;;03/02/2017;-505,48;03/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;03/02/2017;-14;03/02/2017
pgto cartao credito;;Cartão de Crédito;;03/02/2017;505,48;03/02/2017
pisos ;Reformas Casa;Conta Corrente BB;Prioridade Financeira;06/02/2017;-852,79;06/02/2017
pgto escola;educação;Conta Corrente BB;Prioridade Financeira;06/02/2017;-590;06/02/2017
pgto cartao credito;;Conta Corrente BB;;06/02/2017;-432,77;06/02/2017
 pago;Negocio Fabi;Cartão de Crédito;Negocio Fabi;06/02/2017;-365,9;06/02/2017
papelaria;educação;Conta Corrente BB;Essencial;06/02/2017;-312,22;06/02/2017
smiles;Viagem;Cartão de Crédito;Prioridade Financeira;06/02/2017;-185;06/02/2017
uniformes;educação;Conta Corrente BB;Essencial;06/02/2017;-150;06/02/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;06/02/2017;-147,85;06/02/2017
big;mercado;Conta Corrente BB;Essencial;06/02/2017;-135,93;06/02/2017
senac 6/10;negocio fabi;Cartão de Crédito;negocio fabi;06/02/2017;-111,6;06/02/2017
google;Sistema;Cartão de Crédito;Prioridade Financeira;06/02/2017;-69,99;06/02/2017
megasena;outros;Conta Corrente BB;Estilo de Vida;06/02/2017;-30;06/02/2017
github;Sistema;Cartão de Crédito;Prioridade Financeira;06/02/2017;-27;06/02/2017
celular fabi;Compras/presentes;Cartão de Crédito;Estilo de Vida;06/02/2017;-25;06/02/2017
netflix;Internet/Telefone/TV;Nubank;Prioridade Financeira;06/02/2017;-22,9;06/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;06/02/2017;-20;06/02/2017
big;mercado;Conta Corrente BB;Essencial;06/02/2017;-17,16;06/02/2017
fiorela;alimentação;Conta Corrente BB;Essencial;06/02/2017;-15,03;06/02/2017
mercado pago 2/6;Negocio Fabi;Cartão de Crédito;Negocio Fabi;06/02/2017;-12,4;06/02/2017
mercadopago 1/6;Negocio Fabi;Cartão de Crédito;Negocio Fabi;06/02/2017;-11,15;06/02/2017
juro cartao ;Juros;Cartão de Crédito;Prioridade Financeira;06/02/2017;-7,24;06/02/2017
predileta;alimentação;Conta Corrente BB;Essencial;06/02/2017;-5,45;06/02/2017
papelaria delta;educação;Conta Corrente BB;Essencial;06/02/2017;-5;06/02/2017
proteção ouro;Impostos/Seguros/Tarifas;Cartão de Crédito;Prioridade Financeira;06/02/2017;-3;06/02/2017
amazon;Sistema;Cartão de Crédito;Prioridade Financeira;06/02/2017;-2,7;06/02/2017
pgto cartao credito;;Cartão de Crédito;;06/02/2017;432,77;06/02/2017
deposito;faturamento fabi;Conta Corrente BB;;06/02/2017;780;06/02/2017
salario;Salario Lucas;Conta Corrente BB;;06/02/2017;4.693,19;06/02/2017
fruto maduro;Negocio Fabi;Conta Corrente BB;Negocio Fabi;07/02/2017;-37,17;07/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;07/02/2017;-35;07/02/2017
big;mercado;Conta Corrente BB;Essencial;07/02/2017;-31,18;07/02/2017
mufato;mercado;Conta Corrente BB;Essencial;07/02/2017;-20,4;07/02/2017
pgto sistema;Entradas Sistema;Conta Corrente BB;;07/02/2017;657;07/02/2017
casa do mel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;08/02/2017;-105,93;08/02/2017
abastecimento;combustível;Conta Corrente BB;Essencial;08/02/2017;-50;08/02/2017
deposito fabi;faturamento fabi;Conta Corrente BB;;08/02/2017;1.050,00;08/02/2017
luz;Luz/Água;Conta Corrente BB;Essencial;09/02/2017;-187;09/02/2017
luz dna saete;dn salete;Conta Corrente BB;;09/02/2017;-88,54;09/02/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;09/02/2017;-48,32;09/02/2017
rbone;alimentação;Conta Corrente BB;Essencial;09/02/2017;-14;09/02/2017
transf. Dinheiro andre;;Conta Corrente BB;;10/02/2017;-1.000,00;10/02/2017
viagem 10/12;Viagem;Conta Corrente BB;Estilo de Vida;10/02/2017;-648,32;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-348,17;10/02/2017
datacenter;Sistema;Conta Corrente BB;Prioridade Financeira;10/02/2017;-272,03;10/02/2017
seguro;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;10/02/2017;-167,52;10/02/2017
ourocap;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;10/02/2017;-130,53;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-76,32;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-76,32;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-76,31;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-49,41;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-49,41;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-49,41;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-49,4;10/02/2017
mufato;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-49,4;10/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;10/02/2017;-26;10/02/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;10/02/2017;-17,2;10/02/2017
deposito andre;outros;Conta Corrente BB;;10/02/2017;7;10/02/2017
ourocap;ourocap;;;10/02/2017;130,53;10/02/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;13/02/2017;-374,75;13/02/2017
mufato;mercado;Conta Corrente BB;Essencial;13/02/2017;-233,88;13/02/2017
embrabel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;13/02/2017;-143,44;13/02/2017
telefone;Internet/Telefone/TV;Conta Corrente BB;Essencial;13/02/2017;-124,99;13/02/2017
parana;mercado;Conta Corrente BB;Essencial;13/02/2017;-45,68;13/02/2017
fruto maduro;alimentação;Conta Corrente BB;Essencial;13/02/2017;-42,88;13/02/2017
sorvetao;alimentação;Conta Corrente BB;Essencial;13/02/2017;-41,4;13/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;13/02/2017;-35;13/02/2017
fiorela;alimentação;Conta Corrente BB;Essencial;13/02/2017;-20,85;13/02/2017
predileta;alimentação;Conta Corrente BB;Essencial;13/02/2017;-12,08;13/02/2017
compra fabi;Negocio Fabi;Conta Corrente BB;Negocio Fabi;13/02/2017;-5,2;13/02/2017
resgate cdb;Investimento BB;;;14/02/2017;-7.000,00;14/02/2017
sicredi resgate;Investimento Sicredi;;;14/02/2017;-5.000,00;14/02/2017
pgto nubank;;Conta Corrente BB;;14/02/2017;-695,5;14/02/2017
telefone dna salete;dn salete;Conta Corrente BB;;14/02/2017;-74,51;14/02/2017
casa do mel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;14/02/2017;-66,69;14/02/2017
faturamento fabi;faturamento fabi;Conta Corrente BB;;14/02/2017;230;14/02/2017
deposito fabi;faturamento fabi;Conta Corrente BB;;14/02/2017;350;14/02/2017
pgto nubank;;Nubank;;14/02/2017;695,5;14/02/2017
faturamento fabi;faturamento fabi;Conta Corrente BB;;14/02/2017;1.000,00;14/02/2017
deposito transf. Andre;;Conta Corrente BB;;14/02/2017;1.000,00;14/02/2017
deposito bb;;Conta Corrente BB;;14/02/2017;5.000,00;14/02/2017
resgate cdb;;Conta Corrente BB;;14/02/2017;7.145,24;14/02/2017
mercado;mercado;VisaVale;Essencial;15/02/2017;-365;15/02/2017
pgto empregada;Empregada Doméstica;dinheiro;Prioridade Financeira;15/02/2017;-280;15/02/2017
pgto dna salete negocio fabi;negocio fabi;dinheiro;Negocio Fabi;15/02/2017;-223,78;15/02/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;15/02/2017;-88,15;15/02/2017
parana mercado;mercado;Conta Corrente BB;Essencial;15/02/2017;-54,82;15/02/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;15/02/2017;-15;15/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;15/02/2017;-14;15/02/2017
tarifa banco;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;15/02/2017;-9,22;15/02/2017
pgto dna salete;Dn salete;dinheiro;;15/02/2017;223,78;15/02/2017
posto flex;combustível;Conta Corrente BB;Essencial;16/02/2017;-163;16/02/2017
casoto embalagem;negocio fabi;Conta Corrente BB;Negocio Fabi;16/02/2017;-98,5;16/02/2017
fruto maduro;negocio fabi;Conta Corrente BB;Negocio Fabi;16/02/2017;-98,5;16/02/2017
megasena;outros;Conta Corrente BB;Prioridade Financeira;16/02/2017;-28;16/02/2017
predileta;alimentação;Conta Corrente BB;Essencial;16/02/2017;-26,56;16/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;16/02/2017;-14;16/02/2017
tbone;alimentação;Conta Corrente BB;Essencial;16/02/2017;-14;16/02/2017
mercado;mercado;Conta Corrente BB;Essencial;16/02/2017;-11,64;16/02/2017
fiorela;alimentação;Conta Corrente BB;Essencial;16/02/2017;-8,6;16/02/2017
cozinha planejada entrada + 10;Reformas Casa;Conta Corrente BB;prioridade financeira;17/02/2017;-10.000,00;17/02/2017
seguro;Impostos/Seguros/Tarifas;Conta Corrente BB;Prioridade Financeira;17/02/2017;-81,7;17/02/2017
compra lm 5/12;Compras/presentes;Conta Corrente BB;Estilo de Vida;17/02/2017;-67;17/02/2017
faturamento fabi;faturamento fabi;Conta Corrente BB;;17/02/2017;210;17/02/2017
terreno  11/88;terreno;Conta Corrente BB;Prioridade Financeira;20/02/2017;-874,19;20/02/2017
balet fabi 1/12;outros;Conta Corrente BB;Estilo de Vida;20/02/2017;-120;20/02/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;20/02/2017;-102,4;20/02/2017
cheque;outros;Conta Corrente BB;Essencial;20/02/2017;-60;20/02/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;20/02/2017;-51,5;20/02/2017
shop;restaurante;Conta Corrente BB;Estilo de Vida;20/02/2017;-48,5;20/02/2017
croasonho;restaurante;Conta Corrente BB;Estilo de Vida;20/02/2017;-45,15;20/02/2017
bela fitnes;Compras/presentes;Conta Corrente BB;Estilo de Vida;20/02/2017;-34,9;20/02/2017
mcdonald;restaurante;Conta Corrente BB;Estilo de Vida;20/02/2017;-29;20/02/2017
